lat,lng,State,country,city_ascii
-54.9333,-67.6167,,Chile,Puerto Williams
-54.79,-68.31,,Argentina,Ushuaia
-54.2806,-36.508,,South Georgia And South Sandwich Islands,Grytviken
-53.7914,-67.699,,Argentina,Rio Grande
-53.165,-70.94,,Chile,Punta Arenas
-52.65,-71.4666,,Chile,Balsadero Rio Verde
-51.7183,-72.5117,,Chile,Puerto Natales
-51.7,-57.85,,Falkland Islands (Islas Malvinas),Stanley
-51.65,-72.3,,Argentina,Veintiocho de Noviembre
-51.6333,-69.2166,,Argentina,Rio Gallegos
-50.3333,-72.3,,Argentina,El Calafate
-49.9745,-68.9035,,Argentina,Comandante Luis Piedra Buena
-49.3,-67.7167,,Argentina,San Julian
-48.7666,-70.25,,Argentina,Gobernador Gregores
-48.4679,-72.56,,Chile,Villa O'Higgins
-47.75,-65.9,,Argentina,Puerto Deseado
-47.2663,-72.5499,,Chile,Cochrane
-46.8876,168.1666,,New Zealand,Halfmoon Bay
-46.6,-70.9334,,Argentina,Perito Moreno
-46.4094,168.365,,New Zealand,Invercargill
-46.0947,168.9604,,New Zealand,Glencoe
-45.8854,170.491,,New Zealand,Dunedin
-45.87,-67.5,,Argentina,Comodoro Rivadavia
-45.6834,-70.2666,,Argentina,Rio Mayo
-45.6,-69.0833,,Argentina,Sarmiento
-45.57,-72.07,,Chile,Coyhaique
-45.4074,167.7585,,New Zealand,Te Anau
-45.3999,-72.7,,Chile,Puerto Aysen
-45.0333,-70.8333,,Argentina,Alto Rio Senguer
-45.0227,168.7251,,New Zealand,Macetown
-44.698,169.1449,,New Zealand,Wanaka
-44.3972,171.2425,,New Zealand,Timaru
-44.0263,-176.3696,,New Zealand,Waitangi
-43.8983,171.7486,,New Zealand,Ashton
-43.535,172.63,,New Zealand,Christchurch
-43.3813,172.651,,New Zealand,Kairaki
-43.3,-65.1,,Argentina,Rawson
-43.25,-65.33,,Argentina,Trelew
-43.0996,-73.6,,Chile,Quellon
-42.9911,147.3084,,Australia,Kingston
-42.9,-71.3166,,Argentina,Esquel
-42.85,147.295,,Australia,Hobart
-42.77,-65.04,,Argentina,Puerto Madryn
-42.7072,171.01,,New Zealand,Hokitika
-42.61,-73.8099,,Chile,Chonchi
-42.4808,-73.7623,,Chile,Castro
-42.4716,171.2231,,New Zealand,Greymouth
-42.4012,173.6897,,New Zealand,Kaikoura
-42.3996,-66.95,,Argentina,Telsen
-42.2996,147.3666,,Australia,Oatlands
-42.283,-69.2333,,Argentina,Gastre
-42.0829,145.55,,Australia,Queenstown
-42.05,-71.1666,,Argentina,El Maiten
-41.8784,148.2886,,Australia,Bicheno
-41.87,-73.83,,Chile,Ancud
-41.7638,171.6028,,New Zealand,Westport
-41.7522,-73.1416,,Chile,Calbuco
-41.5135,173.955,,New Zealand,Blenheim
-41.47,-72.93,,Chile,Puerto Montt
-41.4498,147.1302,,Australia,Launceston
-41.339,173.185,,New Zealand,Richmond
-41.33,-72.99,,Chile,Puerto Varas
-41.3,-69.5833,,Argentina,Ingeniero Jacobacci
-41.3,174.7833,,New Zealand,Wellington
-41.2926,173.2474,,New Zealand,Nelson
-41.2805,174.0166,,New Zealand,Renwick
-41.2037,174.9123,,New Zealand,Lower Hutt
-41.1927,146.3311,,Australia,Devonport
-41.15,-71.3,,Argentina,San Carlos de Bariloche
-41.1495,147.5167,,Australia,Scottsdale
-41.1355,175.029,,New Zealand,Upper Hutt
-41.1219,174.8524,,New Zealand,Porirua
-41.0666,145.9167,,Australia,Burnie
-41.0333,-70.2666,,Argentina,Comallo
-40.9439,175.6456,,New Zealand,Masterton
-40.9034,174.9989,,New Zealand,Paraparaumu
-40.8329,145.1167,,Australia,Smithton
-40.8,-63,,Argentina,Viedma
-40.7329,-64.9333,,Argentina,San Antonio Oeste
-40.6124,175.2772,,New Zealand,Levin
-40.5829,-67.8,,Argentina,Sierra Colorada
-40.57,-73.16,,Chile,Osorno
-40.3527,175.6072,,New Zealand,Palmerston North
-40.34,-72.96,,Chile,Rio Bueno
-40.29,-73.09,,Chile,La Union
-40.1,-64.4333,,Argentina,General Conesa
-39.9326,175.0393,,New Zealand,Whanganui
-39.8829,-62.5833,,Argentina,Villalonga
-39.8495,-72.83,,Chile,Los Lagos
-39.795,-73.245,,Chile,Valdivia
-39.5795,174.278,,New Zealand,Hawera
-39.49,176.9265,,New Zealand,Napier
-39.4833,-62.6833,,Argentina,Pedro Luro
-39.37,-72.63,,Chile,Loncoche
-39.3409,174.2845,,New Zealand,Stratford
-39.28,-72.23,,Chile,Villarrica
-39.2666,-65.6833,,Argentina,Choele Choel
-39.2166,-73.2123,,Chile,Tolten
-39.0556,174.0748,,New Zealand,New Plymouth
-39.02,-67.61,,Argentina,General Roca
-38.9889,175.8142,,New Zealand,Turangi
-38.9666,-64.0833,,Argentina,Rio Colorado
-38.95,-68.06,,Argentina,Neuquen
-38.94,-69.24,,Argentina,Cutral-Co
-38.9,-70.0667,,Argentina,Zapala
-38.88,-62.08,,Argentina,Punta Alta
-38.74,-72.96,,Chile,Nueva Imperial
-38.74,-62.265,,Argentina,Bahia Blanca
-38.73,-72.58,,Chile,Temuco
-38.7095,-73.17,,Chile,Carahue
-38.693,176.0771,,New Zealand,Taupo
-38.6633,178.0181,,New Zealand,Gisborne
-38.6095,145.59,,Australia,Wonthaggi
-38.56,-58.75,,Argentina,Necochea
-38.5163,-70.3666,,Argentina,Las Lajas
-38.4333,-71.2333,,Chile,Lonquimay
-38.38,142.47,,Australia,Warrnambool
-38.37,-60.2699,,Argentina,Tres Arroyos
-38.34,141.59,,Australia,Portland
-38.3395,143.58,,Australia,Colac
